// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
11301	3	20.1696
11302	16	17.7546
11303	2	20.7546
11304	2	20.7546
11308	9	18.5846
11309	2	20.7546
11310	3	20.1696
11312	671	12.3644
11313	87	15.3116
11314	103	15.0681
11315	55	15.9732
11316	32	16.7546
11317	43	16.3283
11318	10	18.4326
11319	10	18.4326
11320	19	17.5066
11321	18	17.5846
11324	87	15.3116
11325	31	16.8004
11328	2	20.7546
11329	18	17.5846
11330	2	20.7546
11331	18	17.5846
11332	6	19.1696
11334	2	20.7546
11335	2	20.7546
11336	40	16.4326
11337	24	17.1696
11339	1	21.7546
11340	7	18.9472
11341	14	17.9472
11342	18	17.5846
11343	10	18.4326
11344	6	19.1696
11346	8	18.7546
11347	5	19.4326
11348	5	19.4326
11349	2	20.7546
11350	8	18.7546
11351	17	17.6671
11352	1	21.7546
11353	3	20.1696
11354	1	21.7546
11361	12	18.1696
11362	1	21.7546
11364	3	20.1696
11365	1	21.7546
11366	1	21.7546
11368	33	16.7102
11369	3	20.1696
11371	1	21.7546
11372	3	20.1696
11373	2	20.7546
11375	2	20.7546
11376	3	20.1696
11378	1	21.7546
11379	25	17.1107
11380	8	18.7546
11382	3	20.1696
11383	5	19.4326
11385	2	20.7546
11391	1	21.7546
11443	1	21.7546
11529	8	18.7546
11530	246	13.812
11547	3	20.1696
11552	1010	11.7744
11553	1	21.7546
11554	42	16.3622
11556	19	17.5066
11557	5	19.4326
11558	13	18.0541
11564	1	21.7546
11565	7556	8.87114
11566	11	18.2951
11567	36	16.5846
11568	1207	11.5173
11569	1435	11.2677
11570	354	13.2869
11571	129	14.7433
11572	96	15.1696
11573	570	12.5997
11574	143	14.5947
11575	101	15.0963
11576	496	12.8004
11577	106	15.0266
11580	65	15.7322
11581	314	13.4599
11582	132	14.7102
11584	1	21.7546
11585	264	13.7102
11586	303	13.5114
11587	176	14.2951
11588	134	14.6885
11589	441	12.9699
11590	173	14.3199
11591	7	18.9472
11592	78	15.4691
11593	679	12.3473
11594	6	19.1696
11595	71	15.6048
11596	141	14.615
11597	615	12.4901
11598	44	16.2951
11599	108	14.9997
11600	926	11.8997
11601	8	18.7546
11602	154	14.4878
11603	486	12.8297
11604	2180	10.6644
11605	112	14.9472
11606	553	12.6434
11607	46	16.231
11608	9	18.5846
